      Time     Sample #  Type  Sub Chan  Num	Aux
[09:00:00.244]       61     N    0    0    0    (N
[09:00:00.800]      200     N    0    0    0
[09:00:01.432]      358     N    0    0    0
[09:00:02.336]      584     N    0    0    0
[09:00:02.916]      729     N    0    0    0
[09:00:03.492]      873     N    0    0    0
[09:00:04.448]     1112     N    0    0    0
[09:00:05.040]     1260     N    0    0    0
[09:00:05.636]     1409     N    0    0    0
[09:00:06.572]     1643     N    0    0    0
[09:00:07.420]     1855     N    0    0    0
[09:00:08.288]     2072     N    0    0    0
[09:00:09.096]     2274     N    0    0    0
[09:00:09.924]     2481     N    0    0    0
[09:00:10.748]     2687     N    0    0    0
[09:00:11.296]     2824     N    0    0    0
[09:00:11.836]     2959     N    0    0    0
[09:00:12.360]     3090     N    0    0    0
[09:00:12.736]     3184     N    0    0    0
[09:00:13.236]     3309     N    0    0    0
[09:00:13.704]     3426     N    0    0    0
[09:00:14.584]     3646     N    0    0    0
[09:00:15.480]     3870     N    0    0    0
[09:00:16.016]     4004     N    0    0    0
[09:00:16.600]     4150     N    0    0    0
[09:00:17.596]     4399     N    0    0    0
[09:00:18.152]     4538     N    0    0    0
[09:00:18.764]     4691     N    0    0    0
[09:00:19.700]     4925     N    0    0    0
[09:00:20.568]     5142     N    0    0    0
[09:00:21.452]     5363     N    0    0    0
[09:00:22.312]     5578     N    0    0    0
[09:00:23.132]     5783     N    0    0    0
[09:00:23.968]     5992     N    0    0    0
[09:00:24.532]     6133     N    0    0    0
[09:00:25.088]     6272     N    0    0    0
[09:00:25.580]     6395     N    0    0    0
[09:00:25.956]     6489     N    0    0    0
[09:00:26.436]     6609     N    0    0    0
[09:00:26.852]     6713     N    0    0    0
[09:00:27.232]     6808     N    0    0    0
[09:00:27.692]     6923     N    0    0    0
[09:00:28.080]     7020     N    0    0    0
[09:00:28.744]     7186     N    0    0    0
[09:00:29.236]     7309     N    0    0    0
[09:00:29.532]     7383     N    0    0    0
[09:00:30.024]     7506     N    0    0    0
[09:00:30.460]     7615     N    0    0    0
[09:00:30.792]     7698     N    0    0    0
[09:00:31.144]     7786     N    0    0    0
[09:00:31.632]     7908     N    0    0    0
[09:00:32.228]     8057     N    0    0    0
[09:00:32.628]     8157     N    0    0    0
[09:00:33.192]     8298     N    0    0    0
[09:00:34.180]     8545     N    0    0    0
[09:00:35.064]     8766     N    0    0    0
[09:00:35.916]     8979     N    0    0    0
[09:00:36.444]     9111     N    0    0    0
[09:00:37.592]     9398     N    0    0    0
[09:00:38.176]     9544     N    0    0    0
[09:00:39.292]     9823     N    0    0    0
[09:00:39.868]     9967     N    0    0    0
[09:00:40.396]    10099     N    0    0    0
[09:00:41.328]    10332     N    0    0    0
[09:00:41.908]    10477     N    0    0    0
[09:00:42.628]    10657     N    0    0    0
[09:00:43.564]    10891     N    0    0    0
[09:00:44.144]    11036     N    0    0    0
[09:00:44.736]    11184     N    0    0    0
[09:00:45.660]    11415     N    0    0    0
[09:00:46.572]    11643     N    0    0    0
[09:00:47.380]    11845     N    0    0    0
[09:00:48.216]    12054     N    0    0    0
[09:00:49.048]    12262     N    0    0    0
[09:00:49.912]    12478     N    0    0    0
[09:00:50.712]    12678     N    0    0    0
[09:00:51.544]    12886     N    0    0    0
[09:00:52.360]    13090     N    0    0    0
[09:00:53.176]    13294     N    0    0    0
[09:00:54.004]    13501     N    0    0    0
[09:00:54.828]    13707     N    0    0    0
[09:00:55.656]    13914     N    0    0    0
[09:00:56.472]    14118     N    0    0    0
[09:00:57.328]    14332     N    0    0    0
[09:00:58.128]    14532     N    0    0    0
[09:00:58.952]    14738     N    0    0    0
[09:00:59.772]    14943     N    0    0    0
[09:01:00.592]    15148     N    0    0    0
[09:01:01.148]    15287     N    0    0    0
[09:01:01.664]    15416     N    0    0    0
[09:01:02.188]    15547     N    0    0    0
[09:01:02.668]    15667     N    0    0    0
[09:01:03.116]    15779     N    0    0    0
[09:01:03.648]    15912     N    0    0    0
[09:01:04.224]    16056     N    0    0    0
[09:01:04.656]    16164     N    0    0    0
[09:01:05.160]    16290     N    0    0    0
[09:01:06.136]    16534     N    0    0    0
[09:01:06.700]    16675     N    0    0    0
[09:01:07.468]    16867     N    0    0    0
[09:01:08.416]    17104     N    0    0    0
[09:01:08.952]    17238     N    0    0    0
[09:01:09.616]    17404     N    0    0    0
[09:01:10.576]    17644     N    0    0    0
[09:01:11.116]    17779     N    0    0    0
[09:01:11.668]    17917     N    0    0    0
[09:01:12.588]    18147     N    0    0    0
[09:01:13.136]    18284     N    0    0    0
[09:01:13.688]    18422     N    0    0    0
[09:01:14.164]    18541     N    0    0    0
