      Time     Sample #  Type  Sub Chan  Num	Aux
[10:45:00.008]        1     |    0    0   11
[10:45:00.570]       73     N    0    0   12
[10:45:01.555]      199     N    0    0   12
[10:45:02.508]      321     N    0    0   12
[10:45:03.477]      445     N    0    0   12
[10:45:04.430]      567     N    0    0   12
[10:45:05.391]      690     N    0    0   12
[10:45:06.367]      815     N    0    0   12
[10:45:07.352]      941     N    0    0   12
[10:45:08.320]     1065     N    0    0   12
[10:45:09.305]     1191     N    0    0   12
[10:45:10.273]     1315     N    0    0   12
[10:45:11.219]     1436     N    0    0   12
[10:45:12.117]     1551     N    0    0   12
[10:45:13.000]     1664     N    0    0   12
[10:45:13.883]     1777     N    0    0   12
[10:45:14.789]     1893     N    0    0   12
[10:45:15.734]     2014     N    0    0   12
[10:45:16.680]     2135     N    0    0   12
[10:45:17.625]     2256     N    0    0   12
[10:45:18.516]     2370     |    0   16   58
[10:45:19.453]     2490     N    0    0   12
[10:45:20.352]     2605     N    0    0   12
[10:45:21.266]     2722     N    0    0   12
[10:45:22.203]     2842     N    0    0   12
[10:45:23.141]     2962     N    0    0   12
[10:45:24.055]     3079     N    0    0   12
[10:45:25.000]     3200     N    0    0   12
[10:45:25.953]     3322     N    0    0   12
[10:45:26.891]     3442     N    0    0   12
[10:45:27.836]     3563     N    0    0   12
[10:45:28.773]     3683     N    0    0   12
[10:45:29.703]     3802     N    0    0   12
[10:45:30.641]     3922     N    0    0   12
[10:45:31.570]     4041     N    0    0   12
[10:45:32.492]     4159     N    0    0   12
[10:45:33.445]     4281     N    0    0   12
[10:45:34.398]     4403     N    0    0   12
[10:45:35.352]     4525     N    0    0   12
[10:45:36.320]     4649     N    0    0   12
[10:45:37.289]     4773     N    0    0   12
[10:45:38.250]     4896     N    0    0   12
[10:45:39.227]     5021     N    0    0   12
[10:45:40.203]     5146     N    0    0   12
[10:45:41.164]     5269     N    0    0   12
[10:45:42.148]     5395     N    0    0   12
[10:45:43.117]     5519     N    0    0  -95
[10:45:44.109]     5646     N    0    0  -95
[10:45:45.094]     5772     N    0    0  -95
[10:45:46.031]     5892     N    0    0   12
[10:45:47.000]     6016     N    0    0   12
[10:45:47.953]     6138     N    0    0   12
[10:45:48.898]     6259     N    0    0   12
[10:45:49.883]     6385     N    0    0   12
[10:45:50.859]     6510     N    0    0   12
[10:45:51.844]     6636     N    0    0   12
[10:45:52.813]     6760     N    0    0   12
[10:45:53.758]     6881     N    0    0   12
[10:45:54.695]     7001     N    0    0   12
[10:45:55.641]     7122     N    0    0   12
[10:45:56.578]     7242     N    0    0   12
[10:45:57.500]     7360     N    0    0   12
[10:45:58.406]     7476     N    0    0   12
[10:45:59.320]     7593     N    0    0   12
[10:46:00.227]     7709     N    0    0   12
[10:46:01.133]     7825     N    0    0   12
[10:46:02.063]     7944     N    0    0   12
[10:46:03.008]     8065     N    0    0   12
[10:46:03.938]     8184     N    0    0   12
[10:46:04.852]     8301     N    0    0   12
[10:46:05.766]     8418     N    0    0   12
[10:46:06.680]     8535     N    0    0   12
[10:46:07.586]     8651     N    0    0   12
[10:46:08.477]     8765     N    0    0   12
[10:46:09.320]     8873     N    0    0   12
[10:46:10.164]     8981     N    0    0   12
[10:46:11.023]     9091     N    0    0   12
[10:46:11.945]     9209     N    0    0   12
[10:46:12.875]     9328     N    0    0   12
[10:46:13.820]     9449     N    0    0   13
[10:46:14.742]     9567     N    0    0   13
[10:46:15.688]     9688     N    0    0   13
[10:46:16.617]     9807     N    0    0   13
[10:46:17.539]     9925     N    0    0   13
[10:46:18.461]    10043     N    0    0   13
[10:46:19.398]    10163     N    0    0  -95
[10:46:20.328]    10282     N    0    0   13
[10:46:21.242]    10399     N    0    0   13
[10:46:22.125]    10512     N    0    0   13
[10:46:23.039]    10629     N    0    0   13
[10:46:23.945]    10745     N    0    0   13
[10:46:24.875]    10864     N    0    0   13
[10:46:25.813]    10984     N    0    0   12
[10:46:26.758]    11105     N    0    0   13
[10:46:27.688]    11224     N    0    0   12
[10:46:28.602]    11341     N    0    0   12
[10:46:29.500]    11456     N    0    0   13
[10:46:30.398]    11571     N    0    0  -95
[10:46:31.289]    11685     N    0    0   13
[10:46:32.227]    11805     N    0    0   13
[10:46:33.195]    11929     N    0    0   13
[10:46:34.180]    12055     N    0   16   28
[10:46:35.094]    12172     N    0    0   13
[10:46:36.016]    12290     N    0    0  -89
[10:46:36.922]    12406     N    0    0   13
[10:46:37.820]    12521     N    0    0   13
[10:46:38.734]    12638     N    0    0   13
[10:46:39.680]    12759     N    0    0   13
[10:46:40.641]    12882     N    0    0   13
[10:46:41.625]    13008     N    0    0   13
[10:46:42.586]    13131     N    0    0   12
[10:46:43.570]    13257     N    0    0   12
[10:46:44.570]    13385     N    0    0   12
[10:46:45.555]    13511     N    0    0   12
[10:46:46.531]    13636     N    0    0   13
[10:46:47.508]    13761     N    0    0   13
[10:46:48.492]    13887     N    0    0   12
[10:46:49.461]    14011     N    0    0   12
[10:46:50.438]    14136     N    0    0   13
[10:46:51.422]    14262     N    0    0   13
[10:46:52.406]    14388     N    0    0   13
[10:46:53.406]    14516     N    0    0   13
[10:46:54.383]    14641     N    0    0   13
[10:46:55.391]    14770     N    0    0   13
[10:46:56.398]    14899     N    0    0   13
[10:46:57.406]    15028     N    0    0   13
[10:46:58.430]    15159     N    0    0   13
[10:46:59.422]    15286     N    0    0   13
[10:47:00.430]    15415     N    0    0   13
[10:47:01.430]    15543     N    0    0   13
[10:47:02.438]    15672     N    0    0   13
[10:47:03.383]    15793     N    0    0   12
[10:47:04.344]    15916     N    0    0   13
[10:47:05.320]    16041     N    0    0   12
[10:47:06.266]    16162     N    0    0   13
[10:47:07.211]    16283     N    0    0   12
[10:47:08.203]    16410     N    0    0   12
[10:47:09.203]    16538     N    0    0   13
[10:47:10.195]    16665     N    0    0   13
[10:47:11.172]    16790     N    0    0   12
[10:47:12.141]    16914     N    0    0   13
[10:47:13.102]    17037     N    0    0   13
[10:47:14.063]    17160     N    0    0   13
[10:47:14.984]    17278     N    0    0   13
[10:47:15.914]    17397     N    0    0   13
[10:47:16.891]    17522     N    0    0   12
[10:47:17.875]    17648     N    0    0   13
[10:47:18.852]    17773     N    0    0   13
[10:47:19.828]    17898     N    0    0   12
[10:47:20.781]    18020     N    0    0   13
[10:47:21.719]    18140     N    0    0   13
[10:47:22.664]    18261     N    0    0   13
[10:47:23.625]    18384     N    0    0   13
[10:47:24.555]    18503     N    0    0   13
[10:47:25.500]    18624     N    0    0   13
[10:47:26.422]    18742     N    0    0   13
[10:47:27.336]    18859     N    0    0   13
[10:47:28.250]    18976     N    0    0   13
[10:47:29.219]    19100     N    0    0   13
[10:47:30.203]    19226     N    0    0   13
[10:47:31.211]    19355     N    0    0   13
[10:47:32.266]    19490     N    0    0   13
[10:47:33.297]    19622     N    0    0   12
[10:47:34.336]    19755     N    0    0   13
[10:47:35.375]    19888     N    0    0   13
[10:47:36.383]    20017     N    0    0   13
[10:47:37.336]    20139     N    0    0   13
[10:47:38.258]    20257     N    0    0   13
[10:47:38.492]    20287     ~    2    0    0
[10:47:39.164]    20373     N    0    0   14
[10:47:40.063]    20488     N    0    0   14
[10:47:40.953]    20602     N    0    0   14
[10:47:41.805]    20711     N    0    0   14
[10:47:42.500]    20800     ~    0    0    0
[10:47:42.680]    20823     N    0    0   12
[10:47:43.539]    20933     N    0    0   13
[10:47:44.391]    21042     N    0    0   13
[10:47:45.250]    21152     N    0    0   13
[10:47:46.102]    21261     N    0    0   13
[10:47:46.930]    21367     N    0    0   13
[10:47:47.773]    21475     N    0    0   13
[10:47:48.609]    21582     N    0    0   13
[10:47:49.438]    21688     N    0    0   12
[10:47:50.250]    21792     N    0    0   13
[10:47:51.063]    21896     N    0    0   13
[10:47:51.891]    22002     N    0    0   13
[10:47:52.727]    22109     N    0    0   13
[10:47:53.539]    22213     N    0    0   13
[10:47:54.398]    22323     N    0    0   13
[10:47:55.234]    22430     N    0    0   13
[10:47:56.063]    22536     N    0   16   28
[10:47:56.867]    22639     N    0    0   13
[10:47:57.672]    22742     N    0    0   13
[10:47:58.461]    22843     N    0    0   13
[10:47:59.250]    22944     N    0    0   13
[10:48:00.023]    23043     N    0    0   13
[10:48:00.789]    23141     N    0    0   13
[10:48:01.570]    23241     N    0    0   13
[10:48:02.320]    23337     N    0    0   12
[10:48:03.078]    23434     N    0    0   13
[10:48:03.820]    23529     N    0    0   13
[10:48:04.016]    23554     ~    3    0    0
[10:48:04.563]    23624     |    0    0   10
[10:48:05.305]    23719     |    0    0   10
[10:48:06.039]    23813     |    0    0   10
[10:48:06.758]    23905     |    0    0   10
[10:48:07.508]    24001     |    0    0   10
[10:48:08.242]    24095     |    0    0   10
[10:48:08.977]    24189     |    0    0   10
[10:48:09.727]    24285     |    0    0   10
[10:48:10.484]    24382     |    0    0   10
[10:48:11.266]    24482     |    0    0   10
[10:48:12.039]    24581     |    0    0   10
[10:48:12.828]    24682     |    0    0   10
[10:48:13.609]    24782     |    0    0   10
[10:48:13.789]    24805     ~    2    0    0
[10:48:14.367]    24879     N    0    0   14
[10:48:15.141]    24978     N    0    0   14
[10:48:15.898]    25075     N    0    0   14
[10:48:16.500]    25152     ~    0    0    0
[10:48:16.656]    25172     N    0    0   13
[10:48:17.422]    25270     N    0    0   13
[10:48:18.172]    25366     N    0    0   13
[10:48:18.938]    25464     N    0    0   13
[10:48:19.703]    25562     N    0    0   13
[10:48:20.250]    25632     ~    1    0    0
[10:48:20.461]    25659     N    0    0   22
[10:48:21.250]    25760     N    0    0   22
[10:48:22.023]    25859     N    0    0   22
[10:48:22.797]    25958     N    0    0   22
[10:48:23.594]    26060     N    0    0   22
[10:48:24.367]    26159     N    0    0   22
[10:48:24.555]    26183     ~    0    0    0
[10:48:25.156]    26260     N    0    0   13
[10:48:25.898]    26355     N    0    0   13
[10:48:26.664]    26453     N    0    0   13
[10:48:27.438]    26552     N    0    0   13
[10:48:28.211]    26651     N    0    0   13
[10:48:28.961]    26747     N    0    0   13
[10:48:29.734]    26846     N    0    0   13
[10:48:30.492]    26943     N    0    0   13
[10:48:31.250]    27040     N    0    0   13
[10:48:31.984]    27134     N    0    0   13
