      Time     Sample #  Type  Sub Chan  Num	Aux
[10:38:00.388]       97     ?    0    0    0
[10:38:01.336]      334     ?    0    0    0
[10:38:02.192]      548     ?    0    0    0
[10:38:03.092]      773     ?    0    0    0
[10:38:04.056]     1014     ?    0    0    0
[10:38:05.104]     1276     ?    0    0    0
[10:38:06.292]     1573     ?    0    0    0
[10:38:07.480]     1870     ?    0    0    0
[10:38:08.616]     2154     ?    0    0    0
[10:38:09.828]     2457     ?    0    0    0
[10:38:11.044]     2761     ?    0    0    0
[10:38:12.236]     3059     ?    0    0    0
[10:38:13.356]     3339     ?    0    0    0
[10:38:14.352]     3588     ?    0    0    0
[10:38:15.304]     3826     ?    0    0    0
[10:38:16.276]     4069     ?    0    0    0
[10:38:17.240]     4310     ?    0    0    0
[10:38:18.152]     4538     ?    0    0    0
[10:38:19.020]     4755     ?    0    0    0
[10:38:19.888]     4972     ?    0    0    0
[10:38:20.772]     5193     ?    0    0    0
[10:38:21.660]     5415     ?    0    0    0
[10:38:22.536]     5634     ?    0    0    0
[10:38:23.424]     5856     ?    0    0    0
[10:38:24.348]     6087     ?    0    0    0
[10:38:25.276]     6319     ?    0    0    0
[10:38:26.152]     6538     ?    0    0    0
[10:38:27.060]     6765     ?    0    0    0
[10:38:27.932]     6983     ?    0    0    0
[10:38:28.804]     7201     ?    0    0    0
[10:38:29.684]     7421     ?    0    0    0
[10:38:30.592]     7648     ?    0    0    0
[10:38:31.472]     7868     ?    0    0    0
[10:38:32.352]     8088     ?    0    0    0
[10:38:33.232]     8308     ?    0    0    0
[10:38:34.112]     8528     ?    0    0    0
[10:38:35.024]     8756     ?    0    0    0
[10:38:35.884]     8971     ?    0    0    0
[10:38:36.788]     9197     ?    0    0    0
[10:38:37.656]     9414     ?    0    0    0
[10:38:38.560]     9640     ?    0    0    0
[10:38:39.460]     9865     ?    0    0    0
[10:38:40.376]    10094     ?    0    0    0
[10:38:41.288]    10322     ?    0    0    0
[10:38:42.192]    10548     ?    0    0    0
[10:38:43.100]    10775     ?    0    0    0
[10:38:44.004]    11001     ?    0    0    0
[10:38:44.912]    11228     ?    0    0    0
[10:38:45.840]    11460     ?    0    0    0
[10:38:46.720]    11680     ?    0    0    0
[10:38:47.588]    11897     N    0    0    0
[10:38:48.452]    12113     N    0    0    0
[10:38:49.296]    12324     N    0    0    0
[10:38:50.124]    12531     N    0    0    0
[10:38:50.944]    12736     N    0    0    0
[10:38:51.744]    12936     N    0    0    0
[10:38:52.532]    13133     N    0    0    0
[10:38:53.296]    13324     N    0    0    0
[10:38:54.052]    13513     N    0    0    0
[10:38:54.796]    13699     N    0    0    0
[10:38:55.536]    13884     N    0    0    0
[10:38:56.272]    14068     N    0    0    0
[10:38:56.996]    14249     N    0    0    0
[10:38:57.728]    14432     N    0    0    0
[10:38:58.436]    14609     N    0    0    0
[10:38:59.144]    14786     N    0    0    0
[10:38:59.864]    14966     N    0    0    0
[10:39:00.584]    15146     N    0    0    0
[10:39:01.320]    15330     N    0    0    0
[10:39:02.060]    15515     N    0    0    0
[10:39:02.744]    15686     N    0    0    0
[10:39:03.440]    15860     N    0    0    0
[10:39:04.184]    16046     N    0    0    0
[10:39:05.156]    16289     N    0    0    0
[10:39:06.180]    16545     N    0    0    0
[10:39:07.216]    16804     N    0    0    0
[10:39:08.164]    17041     N    0    0    0
[10:39:09.136]    17284     N    0    0    0
[10:39:10.440]    17610     N    0    0    0
[10:39:11.576]    17894     N    0    0    0
[10:39:12.644]    18161     N    0    0    0
[10:39:13.596]    18399     N    0    0    0
[10:39:14.488]    18622     N    0    0    0
[10:39:15.408]    18852     N    0    0    0
[10:39:16.568]    19142     N    0    0    0
[10:39:17.768]    19442     N    0    0    0
[10:39:19.024]    19756     N    0    0    0
[10:39:20.404]    20101     N    0    0    0
[10:39:21.756]    20439     N    0    0    0
[10:39:23.032]    20758     N    0    0    0
[10:39:24.140]    21035     N    0    0    0
[10:39:25.500]    21375     N    0    0    0
[10:39:27.028]    21757     N    0    0    0
[10:39:28.440]    22110     N    0    0    0
[10:39:29.792]    22448     N    0    0    0
[10:39:31.280]    22820     N    0    0    0
[10:39:32.640]    23160     N    0    0    0
[10:39:34.032]    23508     N    0    0    0
[10:39:35.484]    23871     N    0    0    0
[10:39:36.716]    24179     N    0    0    0
[10:39:38.020]    24505     N    0    0    0
[10:39:39.528]    24882     N    0    0    0
[10:39:40.816]    25204     N    0    0    0
[10:39:42.236]    25559     N    0    0    0
[10:39:43.600]    25900     N    0    0    0
[10:39:44.936]    26234     N    0    0    0
[10:39:46.296]    26574     N    0    0    0
[10:39:47.384]    26846     S    0    0    0
[10:39:48.636]    27159     N    0    0    0
[10:39:49.844]    27461     N    0    0    0
[10:39:51.056]    27764     N    0    0    0
[10:39:52.444]    28111     N    0    0    0
[10:39:53.592]    28398     N    0    0    0
[10:39:54.740]    28685     N    0    0    0
[10:39:55.768]    28942     N    0    0    0
[10:39:57.096]    29274     N    0    0    0
[10:39:58.372]    29593     N    0    0    0
[10:39:59.464]    29866     N    0    0    0
[10:40:00.688]    30172     N    0    0    0
[10:40:01.980]    30495     N    0    0    0
[10:40:03.176]    30794     N    0    0    0
[10:40:04.160]    31040     N    0    0    0
[10:40:05.232]    31308     N    0    0    0
[10:40:06.512]    31628     N    0    0    0
[10:40:07.868]    31967     N    0    0    0
[10:40:09.280]    32320     N    0    0    0
[10:40:10.628]    32657     N    0    0    0
[10:40:12.004]    33001     N    0    0    0
[10:40:13.360]    33340     N    0    0    0
[10:40:14.612]    33653     N    0    0    0
[10:40:15.876]    33969     N    0    0    0
[10:40:17.204]    34301     N    0    0    0
[10:40:18.372]    34593     N    0    0    0
[10:40:19.680]    34920     N    0    0    0
[10:40:20.876]    35219     N    0    0    0
[10:40:22.044]    35511     N    0    0    0
[10:40:23.036]    35759     N    0    0    0
[10:40:23.972]    35993     N    0    0    0
[10:40:24.884]    36221     N    0    0    0
[10:40:25.772]    36443     N    0    0    0
[10:40:26.616]    36654     N    0    0    0
[10:40:27.460]    36865     N    0    0    0
[10:40:27.864]    36966     +    0    0    0	(AFIB
[10:40:28.268]    37067     N    0    0    0
[10:40:29.084]    37271     N    0    0    0
[10:40:29.880]    37470     N    0    0    0
[10:40:30.636]    37659     N    0    0    0
[10:40:31.400]    37850     N    0    0    0
[10:40:32.200]    38050     N    0    0    0
[10:40:32.976]    38244     N    0    0    0
[10:40:33.764]    38441     N    0    0    0
[10:40:34.512]    38628     N    0    0    0
[10:40:35.256]    38814     N    0    0    0
[10:40:36.004]    39001     N    0    0    0
[10:40:36.744]    39186     N    0    0    0
[10:40:37.516]    39379     N    0    0    0
[10:40:38.452]    39613     N    0    0    0
[10:40:40.024]    40006     N    0    0    0
[10:40:41.408]    40352     N    0    0    0
[10:40:42.896]    40724     N    0    0    0
[10:40:44.312]    41078     N    0    0    0
[10:40:45.744]    41436     N    0    0    0
[10:40:46.992]    41748     N    0    0    0
[10:40:48.320]    42080     N    0    0    0
[10:40:49.572]    42393     N    0    0    0
[10:40:50.848]    42712     N    0    0    0
[10:40:52.112]    43028     N    0    0    0
[10:40:53.452]    43363     N    0    0    0
[10:40:54.764]    43691     N    0    0    0
[10:40:56.160]    44040     N    0    0    0
[10:40:57.576]    44394     N    0    0    0
[10:40:58.732]    44683     N    0    0    0
[10:41:00.116]    45029     N    0    0    0
[10:41:01.596]    45399     N    0    0    0
[10:41:02.996]    45749     N    0    0    0
[10:41:04.340]    46085     N    0    0    0
[10:41:05.360]    46340     S    0    0    0
[10:41:06.356]    46589     N    0    0    0
[10:41:08.012]    47003     N    0    0    0
