Time     Sample #  Type  Sub Chan  Num	Aux
[14:51:00.120]       30     ?    0    0    0
[14:51:00.996]      249     ?    0    0    0
[14:51:01.800]      450     ?    0    0    0
[14:51:02.540]      635     ?    0    0    0
[14:51:03.112]      778     ?    0    0    0
[14:51:03.748]      937     ?    0    0    0
[14:51:04.660]     1165     ?    0    0    0
[14:51:05.448]     1362     ?    0    0    0
[14:51:06.024]     1506     ?    0    0    0
[14:51:06.664]     1666     ?    0    0    0
[14:51:07.580]     1895     ?    0    0    0
[14:51:08.180]     2045     ?    0    0    0
[14:51:09.104]     2276     ?    0    0    0
[14:51:09.844]     2461     ?    0    0    0
[14:51:10.576]     2644     ?    0    0    0
[14:51:11.208]     2802     ?    0    0    0
[14:51:11.820]     2955     ?    0    0    0
[14:51:12.788]     3197     ?    0    0    0
[14:51:13.540]     3385     ?    0    0    0
[14:51:14.276]     3569     ?    0    0    0
[14:51:14.844]     3711     ?    0    0    0
[14:51:15.536]     3884     ?    0    0    0
[14:51:16.160]     4040     ?    0    0    0
[14:51:17.196]     4299     ?    0    0    0
[14:51:17.956]     4489     ?    0    0    0
[14:51:18.680]     4670     ?    0    0    0
[14:51:19.412]     4853     ?    0    0    0
[14:51:19.984]     4996     ?    0    0    0
[14:51:20.876]     5219     ?    0    0    0
[14:51:21.616]     5404     ?    0    0    0
[14:51:22.348]     5587     ?    0    0    0
[14:51:23.080]     5770     ?    0    0    0
[14:51:23.524]     5881     ?    0    0    0
[14:51:24.528]     6132     ?    0    0    0
[14:51:25.284]     6321     ?    0    0    0
[14:51:26.008]     6502     ?    0    0    0
[14:51:26.720]     6680     ?    0    0    0
[14:51:27.336]     6834     ?    0    0    0
[14:51:28.188]     7047     ?    0    0    0
[14:51:28.912]     7228     ?    0    0    0
[14:51:29.632]     7408     ?    0    0    0
[14:51:30.236]     7559     ?    0    0    0
[14:51:31.096]     7774     ?    0    0    0
[14:51:31.836]     7959     ?    0    0    0
[14:51:32.544]     8136     ?    0    0    0
[14:51:33.952]     8488     ?    0    0    0
[14:51:34.744]     8686     ?    0    0    0
[14:51:35.460]     8865     ?    0    0    0
[14:51:36.060]     9015     ?    0    0    0
[14:51:36.748]     9187     ?    0    0    0
[14:51:37.612]     9403     N    0    0    0
[14:51:38.344]     9586     N    0    0    0
[14:51:38.640]     9660     +    0    0    0	(AFIB
[14:51:38.940]     9735     S    0    0    0
[14:51:39.588]     9897     N    0    0    0
[14:51:40.232]    10058     N    0    0    0
[14:51:41.216]    10304     N    0    0    0
[14:51:41.952]    10488     N    0    0    0
[14:51:42.656]    10664     N    0    0    0
[14:51:43.264]    10816     N    0    0    0
[14:51:44.096]    11024     N    0    0    0
[14:51:44.812]    11203     N    0    0    0
[14:51:45.516]    11379     N    0    0    0
[14:51:46.064]    11516     N    0    0    0
[14:51:46.952]    11738     N    0    0    0
[14:51:47.668]    11917     N    0    0    0
[14:51:48.384]    12096     N    0    0    0
[14:51:48.932]    12233     N    0    0    0
[14:51:49.824]    12456     N    0    0    0
[14:51:50.540]    12635     N    0    0    0
[14:51:51.256]    12814     N    0    0    0
[14:51:51.792]    12948     N    0    0    0
[14:51:52.668]    13167     N    0    0    0
[14:51:53.388]    13347     N    0    0    0
[14:51:54.112]    13528     N    0    0    0
[14:51:54.652]    13663     N    0    0    0
[14:51:55.524]    13881     N    0    0    0
[14:51:56.244]    14061     N    0    0    0
[14:51:56.968]    14242     N    0    0    0
[14:51:57.676]    14419     N    0    0    0
[14:51:58.388]    14597     N    0    0    0
[14:51:59.108]    14777     N    0    0    0
[14:51:59.824]    14956     N    0    0    0
[14:52:00.376]    15094     N    0    0    0
[14:52:01.236]    15309     N    0    0    0
[14:52:01.964]    15491     N    0    0    0
[14:52:02.688]    15672     N    0    0    0
[14:52:03.220]    15805     N    0    0    0
[14:52:04.100]    16025     N    0    0    0
[14:52:04.820]    16205     N    0    0    0
[14:52:05.536]    16384     N    0    0    0
[14:52:06.060]    16515     N    0    0    0
[14:52:06.976]    16744     N    0    0    0
[14:52:07.696]    16924     N    0    0    0
[14:52:08.424]    17106     N    0    0    0
[14:52:09.140]    17285     N    0    0    0
[14:52:09.776]    17444     N    0    0    0
[14:52:10.564]    17641     N    0    0    0
[14:52:11.292]    17823     N    0    0    0
[14:52:12.016]    18004     N    0    0    0
[14:52:12.616]    18154     N    0    0    0
[14:52:13.456]    18364     N    0    0    0
[14:52:14.184]    18546     N    0    0    0
[14:52:15.420]    18855     N    0    0    0
[14:52:16.316]    19079     N    0    0    0
[14:52:16.960]    19240     V    0    0    0
[14:52:17.796]    19449     N    0    0    0
[14:52:18.400]    19600     N    0    0    0
[14:52:19.052]    19763     N    0    0    0
[14:52:19.948]    19987     N    0    0    0
[14:52:20.588]    20147     N    0    0    0
[14:52:21.424]    20356     N    0    0    0
[14:52:22.168]    20542     N    0    0    0
[14:52:22.684]    20671     N    0    0    0
[14:52:23.568]    20892     N    0    0    0
[14:52:24.340]    21085     N    0    0    0
[14:52:25.064]    21266     N    0    0    0
[14:52:25.792]    21448     N    0    0    0
[14:52:26.368]    21592     N    0    0    0
[14:52:27.228]    21807     N    0    0    0
[14:52:27.968]    21992     N    0    0    0
[14:52:28.696]    22174     N    0    0    0
[14:52:29.272]    22318     N    0    0    0
[14:52:30.052]    22513     N    0    0    0
[14:52:30.656]    22664     N    0    0    0
[14:52:31.596]    22899     N    0    0    0
[14:52:32.340]    23085     N    0    0    0
[14:52:33.072]    23268     N    0    0    0
[14:52:33.648]    23412     N    0    0    0
[14:52:34.516]    23629     N    0    0    0
[14:52:35.260]    23815     N    0    0    0
[14:52:35.996]    23999     N    0    0    0
[14:52:36.572]    24143     N    0    0    0
[14:52:37.368]    24342     N    0    0    0
[14:52:37.960]    24490     N    0    0    0
[14:52:38.908]    24727     N    0    0    0
[14:52:39.660]    24915     N    0    0    0
[14:52:40.396]    25099     N    0    0    0
[14:52:40.968]    25242     N    0    0    0
[14:52:41.844]    25461     N    0    0    0
[14:52:42.584]    25646     N    0    0    0
[14:52:43.324]    25831     N    0    0    0
[14:52:43.908]    25977     N    0    0    0
[14:52:44.720]    26180     N    0    0    0
[14:52:45.516]    26379     N    0    0    0
[14:52:46.244]    26561     N    0    0    0
[14:52:46.828]    26707     N    0    0    0
[14:52:47.520]    26880     N    0    0    0
[14:52:48.420]    27105     N    0    0    0
[14:52:49.152]    27288     N    0    0    0
[14:52:49.740]    27435     N    0    0    0
[14:52:50.424]    27606     N    0    0    0
[14:52:51.040]    27760     N    0    0    0
[14:52:52.040]    28010     N    0    0    0
[14:52:52.796]    28199     N    0    0    0
[14:52:53.520]    28380     N    0    0    0
[14:52:54.096]    28524     N    0    0    0
[14:52:54.944]    28736     N    0    0    0
[14:52:55.696]    28924     N    0    0    0
[14:52:56.416]    29104     N    0    0    0
[14:52:56.996]    29249     N    0    0    0
[14:52:57.852]    29463     N    0    0    0
[14:52:58.588]    29647     N    0    0    0
[14:52:59.324]    29831     N    0    0    0
[14:52:59.904]    29976     N    0    0    0
[14:53:00.616]    30154     N    0    0    0
[14:53:01.220]    30305     N    0    0    0
[14:53:01.904]    30476     N    0    0    0
[14:53:02.892]    30723     N    0    0    0
[14:53:03.648]    30912     N    0    0    0
[14:53:04.360]    31090     N    0    0    0
[14:53:05.076]    31269     N    0    0    0
[14:53:05.660]    31415     N    0    0    0
[14:53:06.508]    31627     N    0    0    0
[14:53:07.236]    31809     N    0    0    0
[14:53:07.956]    31989     N    0    0    0
[14:53:08.524]    32131     N    0    0    0
[14:53:09.392]    32348     N    0    0    0
[14:53:10.120]    32530     N    0    0    0
[14:53:10.840]    32710     N    0    0    0
[14:53:11.428]    32857     N    0    0    0
[14:53:12.272]    33068     N    0    0    0
[14:53:13.000]    33250     N    0    0    0
[14:53:13.732]    33433     N    0    0    0
[14:53:14.296]    33574     N    0    0    0
[14:53:15.144]    33786     N    0    0    0
[14:53:15.872]    33968     N    0    0    0
[14:53:16.592]    34148     N    0    0    0
[14:53:17.192]    34298     N    0    0    0
[14:53:18.048]    34512     N    0    0    0
[14:53:18.768]    34692     N    0    0    0
[14:53:19.484]    34871     N    0    0    0
[14:53:20.044]    35011     N    0    0    0
[14:53:20.920]    35230     N    0    0    0
[14:53:21.660]    35415     N    0    0    0
[14:53:22.392]    35598     N    0    0    0
[14:53:23.104]    35776     N    0    0    0
[14:53:23.724]    35931     N    0    0    0
[14:53:24.560]    36140     N    0    0    0
[14:53:25.312]    36328     N    0    0    0
[14:53:26.028]    36507     N    0    0    0
[14:53:26.596]    36649     N    0    0    0
[14:53:27.456]    36864     N    0    0    0
[14:53:28.192]    37048     N    0    0    0
[14:53:28.908]    37227     N    0    0    0
[14:53:29.500]    37375     N    0    0    0
[14:53:30.352]    37588     N    0    0    0
[14:53:31.084]    37771     N    0    0    0
[14:53:31.804]    37951     N    0    0    0
[14:53:32.368]    38092     N    0    0    0
[14:53:33.220]    38305     N    0    0    0
[14:53:33.952]    38488     N    0    0    0
[14:53:34.664]    38666     N    0    0    0
[14:53:35.248]    38812     N    0    0    0
[14:53:36.096]    39024     N    0    0    0
[14:53:36.816]    39204     N    0    0    0
[14:53:37.552]    39388     N    0    0    0
[14:53:38.108]    39527     N    0    0    0
[14:53:38.540]    39635     s    0    0    0	(ST0+
[14:53:38.964]    39741     N    0    0    0
[14:53:39.692]    39923     N    0    0    0
[14:53:40.436]    40109     N    0    0    0
[14:53:41.020]    40255     N    0    0    0
[14:53:41.868]    40467     N    0    0    0
[14:53:42.592]    40648     N    0    0    0
[14:53:43.316]    40829     N    0    0    0
[14:53:43.900]    40975     N    0    0    0
[14:53:44.752]    41188     N    0    0    0
[14:53:45.480]    41370     N    0    0    0
[14:53:46.216]    41554     N    0    0    0
[14:53:46.788]    41697     N    0    0    0
[14:53:47.664]    41916     N    0    0    0
[14:53:48.396]    42099     N    0    0    0
[14:53:49.124]    42281     N    0    0    0
[14:53:49.708]    42427     N    0    0    0
[14:53:50.576]    42644     N    0    0    0
[14:53:51.308]    42827     N    0    0    0
[14:53:51.740]    42935     r    0    0    0
[14:53:52.768]    43192     N    0    0    0
[14:53:53.524]    43381     N    0    0    0
[14:53:54.252]    43563     N    0    0    0
[14:53:54.976]    43744     N    0    0    0
[14:53:55.352]    43838     s    0    0    0	(ST1+
[14:53:55.716]    43929     N    0    0    0
[14:53:56.292]    44073     N    0    0    0
[14:53:57.192]    44298     N    0    0    0
[14:53:57.940]    44485     N    0    0    0
[14:53:58.676]    44669     N    0    0    0
[14:53:59.252]    44813     N    0    0    0
[14:54:00.144]    45036     N    0    0    0
[14:54:00.884]    45221     N    0    0    0
[14:54:01.620]    45405     N    0    0    0
[14:54:02.192]    45548     N    0    0    0
[14:54:03.088]    45772     N    0    0    0
[14:54:03.836]    45959     N    0    0    0
[14:54:04.284]    46071     r    0    0    0
[14:54:05.300]    46325     N    0    0    0
[14:54:06.064]    46516     N    0    0    0
[14:54:06.808]    46702     N    0    0    0
[14:54:07.368]    46842     N    0    0    0
[14:54:08.284]    47071     N    0    0    0
[14:54:09.036]    47259     N    0    0    0
[14:54:09.760]    47440     N    0    0    0
[14:54:10.332]    47583     N    0    0    0
[14:54:11.228]    47807     N    0    0    0
[14:54:11.968]    47992     N    0    0    0
[14:54:12.700]    48175     N    0    0    0
[14:54:13.272]    48318     N    0    0    0
[14:54:14.152]    48538     N    0    0    0
[14:54:14.884]    48721     N    0    0    0
[14:54:15.616]    48904     N    0    0    0
[14:54:16.188]    49047     N    0    0    0
[14:54:17.060]    49265     N    0    0    0
[14:54:17.800]    49450     N    0    0    0
[14:54:18.548]    49637     N    0    0    0
[14:54:19.024]    49756     r    0    0    0
[14:54:20.000]    50000     N    0    0    0
[14:54:20.744]    50186     N    0    0    0
[14:54:21.480]    50370     N    0    0    0
[14:54:22.060]    50515     N    0    0    0
[14:54:22.916]    50729     N    0    0    0
[14:54:23.652]    50913     N    0    0    0
[14:54:24.400]    51100     N    0    0    0
[14:54:24.852]    51213     r    0    0    0
[14:54:25.816]    51454     N    0    0    0
[14:54:26.560]    51640     N    0    0    0
[14:54:27.280]    51820     N    0    0    0
[14:54:27.868]    51967     N    0    0    0
[14:54:28.704]    52176     N    0    0    0
[14:54:29.444]    52361     N    0    0    0
[14:54:30.156]    52539     N    0    0    0
[14:54:30.756]    52689     N    0    0    0
[14:54:31.600]    52900     N    0    0    0
[14:54:32.324]    53081     N    0    0    0
[14:54:33.028]    53257     N    0    0    0
[14:54:33.596]    53399     N    0    0    0
[14:54:34.464]    53616     N    0    0    0
[14:54:35.176]    53794     N    0    0    0
[14:54:35.892]    53973     N    0    0    0
[14:54:36.456]    54114     N    0    0    0
[14:54:37.320]    54330     N    0    0    0
[14:54:38.024]    54506     N    0    0    0
[14:54:38.748]    54687     N    0    0    0
[14:54:39.292]    54823     N    0    0    0
[14:54:40.140]    55035     N    0    0    0
[14:54:40.868]    55217     N    0    0    0
[14:54:41.592]    55398     N    0    0    0
[14:54:42.156]    55539     N    0    0    0
[14:54:42.992]    55748     N    0    0    0
[14:54:43.716]    55929     N    0    0    0
[14:54:44.436]    56109     N    0    0    0
[14:54:45.004]    56251     N    0    0    0
[14:54:45.844]    56461     N    0    0    0
[14:54:46.572]    56643     N    0    0    0
[14:54:47.284]    56821     N    0    0    0
[14:54:47.880]    56970     N    0    0    0
